AT2G36840	AL4G33040
AT5G01120	AL6G11080
AT3G16700	AL3G29630
AT4G04840	AL6G48330
AT2G25355	AL4G16790
AT4G39500	AL7G11500
AT4G37840	AL7G12830
AT3G17550	AL3G30610
AT1G10150	AL1G20840
AT2G42040	AL4G40410
AT3G06610	AL3G17660
AT2G43090	AL4G41740
AT2G06990	AL3G43950
AT1G48790	AL1G55510
AT3G07630	AL3G18990
AT3G05675	AL3G16330
AT3G04840	AL3G15000
AT1G20065	AL1G32870
AT1G78600	AL2G39000
AT1G18980	AL1G31540
AT1G17850	AL1G30210
AT2G33190	AL4G28770
AT1G72310	AL2G31990
AT1G61280	AL2G15030
AT2G32060	AL4G27440
AT1G28570	AL1G42200
AT1G29700	AL1G43530
AT1G57750	AL1G67500
AT1G07110	AL1G17230
AT3G15650	AL3G28310
AT1G08160	AL1G18560
AT1G80190	AL2G41320
AT1G32660	AL1G44860
AT1G69250	AL2G28340
AT1G70360	AL2G29670
AT3G05680	AL3G16340
AT2G42060	AL4G40420
AT1G48780	AL1G55500
AT2G41380	AL4G39430
AT1G20070	AL1G32880
AT1G18990	AL1G31550
AT1G71070	AL2G30650
AT1G17860	AL1G30220
AT2G33200	AL4G28780
AT5G48657	AL8G21710
AT1G78610	AL2G39010
AT1G58520	AL2G17680
AT1G72300	AL2G31980
AT1G61290	AL2G15020
AT2G43100	AL4G41750
AT3G16720	AL3G29650
AT3G18650	AL3G31960
AT3G17570	AL3G30630
AT3G15660	AL3G28320
AT1G08150	AL1G18550
AT1G57765	AL1G67510
AT1G68180	AL2G27000
AT1G79390	AL2G40000
AT1G69240	AL2G28330
AT1G30760	AL1G44850
AT1G70350	AL2G29660
AT1G80180	AL2G41330
AT2G07040	AL3G43970
AT3G04850	AL3G15020
AT3G06630	AL3G17680
AT1G61260	AL2G15050
AT1G49480	AL1G56820
AT1G20050	AL1G32850
AT5G48660	AL8G21720
AT1G18960	AL1G31520
AT2G42070	AL4G40430
AT1G71100	AL2G30680
AT3G17590	AL3G30660
AT3G16730	AL3G29660
AT3G15670	AL3G28330
AT1G29690	AL1G43510
AT1G69270	AL2G28360
AT1G57770	AL1G67520
AT3G18670	AL3G31990
AT1G10180	AL1G20870
AT1G07130	AL1G17250
AT5G57685	AL8G33710
AT1G08170	AL1G18580
AT1G68190	AL2G27030
AT4G37880	AL7G12800
AT2G07020	AL3G43960
AT3G05685	AL3G16360
AT3G25430	AL3G41300
AT1G09380	AL1G19890
AT5G48070	AL8G20400
AT1G20060	AL1G32860
AT1G18970	AL1G31530
AT1G61270	AL2G15040
AT1G71090	AL2G30670
AT1G17840	AL1G30200
AT3G15680	AL3G28340
AT3G18660	AL3G31980
AT3G17580	AL3G30650
AT3G14700	AL3G27010
AT1G29680	AL1G43500
AT1G70370	AL2G29680
AT1G07120	AL1G17240
AT5G57670	AL8G33700
AT1G80200	AL2G41310
AT1G68185	AL2G27020
AT1G69260	AL2G28350
AT1G61255	AL2G15070
AT3G24210	AL3G39010
AT3G04860	AL3G15040
AT2G40316	AL4G38130
AT2G32100	AL4G27480
AT2G42090	AL4G40450
AT2G43120	AL4G41780
AT3G16760	AL3G29680
AT3G14710	AL3G27020
AT3G15690	AL3G28350
AT1G68210	AL2G27050
AT1G19020	AL1G31580
AT1G69290	AL2G28380
AT2G20360	AL3G53320
AT3G17609	AL3G30680
AT1G17890	AL1G30250
AT1G49530	AL1G56880
AT1G07140	AL1G17270
AT1G80160	AL2G41360
AT1G79420	AL2G40030
AT3G24220	AL3G39000
AT1G80150	AL2G41370
AT1G78635	AL2G39050
AT2G43130	AL4G41790
AT3G05690	AL3G16380
AT1G71110	AL2G30690
AT3G14720	AL3G27030
AT2G20362	AL3G53330
AT1G68200	AL2G27040
AT1G69280	AL2G28370
AT1G17910	AL1G30260
AT3G17600	AL3G30670
AT1G28590	AL1G42230
AT1G49520	AL1G56870
AT1G07135	AL1G17260
AT1G08180	AL1G18590
AT1G79430	AL2G40040
AT3G16770	AL3G29690
AT4G12230	AL6G47090
AT1G61240	AL2G15090
AT1G49510	AL1G56860
AT2G40320	AL4G38150
AT2G41410	AL4G39480
AT1G19000	AL1G31560
AT1G17070	AL1G29240
AT1G17870	AL1G30230
AT1G78620	AL2G39020
AT3G14730	AL3G27040
AT1G20080	AL1G32890
AT1G28580	AL1G42220
AT1G68230	AL2G27070
AT1G29720	AL1G43550
AT3G15700	AL3G28370
AT1G80170	AL2G41340
AT1G79400	AL2G40010
AT1G61250	AL2G15080
AT3G24200	AL3G39020
AT1G78630	AL2G39030
AT2G40330	AL4G38160
AT2G41415	AL4G39490
AT1G17880	AL1G30240
AT2G42110	AL4G40480
AT1G17080	AL1G29250
AT3G17611	AL3G30690
AT1G68220	AL2G27060
AT1G29710	AL1G43540
AT1G19010	AL1G31570
AT2G20350	AL3G53310
AT1G30780	AL1G44870
AT3G15710	AL3G28380
AT1G80165	AL2G41350
AT3G14740	AL3G27050
AT1G79410	AL2G40020
AT2G24250	AL4G14520
AT3G24590	AL3G40160
AT5G42390	AL8G19100
AT1G31720	AL1G45790
AT1G09890	AL1G20490
AT1G29320	AL1G43130
AT5G04110	AL6G13730
AT5G03120	AL6G12400
AT3G24100	AL3G39170
AT2G20480	AL3G53480
AT2G32450	AL4G27840
AT1G19740	AL1G32470
AT1G18690	AL1G31140
AT1G48470	AL1G55110
AT3G14860	AL3G27180
AT1G07880	AL1G18160
AT5G57440	AL8G33410
AT1G48460	AL1G55100
AT1G57550	AL1G67110
AT5G04090	AL6G13720
AT2G20490	AL3G53490
AT5G25820	AL6G37710
AT2G32460	AL4G27850
AT1G19770	AL1G32480
AT1G18700	AL1G31150
AT3G55070	AL5G36190
AT1G07870	AL1G18150
AT5G58500	AL8G34730
AT2G40630	AL4G38500
AT3G14870	AL3G27190
AT5G13780	AL6G24400
AT2G41440	AL4G39830
AT5G14940	AL6G25730
AT5G57420	AL8G33400
AT1G09870	AL1G20470
AT5G42380	AL8G19120
AT1G72150	AL2G31810
AT5G04130	AL6G13750
AT1G18670	AL1G31120
AT5G03140	AL6G12420
AT2G32480	AL4G27860
AT5G57480	AL8G33430
AT5G47240	AL8G10790
AT5G58520	AL8G34760
AT2G20463	AL3G53460
AT5G14920	AL6G25700
AT1G19720	AL1G32450
AT1G20780	AL1G33780
AT1G50120	AL1G57750
AT3G55060	AL5G36180
AT3G24605	AL3G40180
AT5G56380	AL8G32100
AT1G07900	AL1G18180
AT2G40640	AL4G38510
AT1G72140	AL2G31800
AT1G50110	AL1G57740
AT1G09880	AL1G20480
AT5G04120	AL6G13740
AT1G57560	AL1G67130
AT2G16090	AL3G52140
AT5G58510	AL8G34750
AT2G20470	AL3G53470
AT1G29310	AL1G43100
AT1G19730	AL1G32460
AT1G18680	AL1G31130
AT3G55050	AL5G36170
AT5G14930	AL6G25710
AT3G24600	AL3G40170
AT5G57460	AL8G33420
AT1G07890	AL1G18170
AT2G40650	AL4G38520
AT5G36250	AL7G45180
AT2G40660	AL4G38530
AT1G72170	AL2G31830
AT1G60490	AL2G16200
AT1G59540	AL2G17530
AT2G32500	AL4G27880
AT1G29380	AL1G43170
AT1G57780	AL2G18860
AT4G20960	AL7G33190
AT3G55040	AL5G36160
AT1G70210	AL2G29510
AT5G58480	AL8G34700
AT5G47320	AL8G10730
AT3G56170	AL5G37490
AT2G39730	AL4G37200
AT2G40670	AL4G38540
AT5G36260	AL7G45190
AT2G42430	AL4G40860
AT2G39740	AL4G37210
AT1G30473	AL1G44490
AT1G72160	AL2G31820
AT1G59550	AL2G17520
AT1G57790	AL2G18850
AT5G49180	AL8G22720
AT4G20970	AL7G33180
AT1G48490	AL1G55140
AT1G70200	AL2G29500
AT3G56160	AL5G37480
AT3G55030	AL5G36150
AT5G37670	AL7G46490
AT2G39750	AL4G37220
AT5G36230	AL7G45160
AT1G30470	AL1G44480
AT5G04080	AL6G13710
AT1G72180	AL2G31850
AT1G29340	AL1G43150
AT5G49190	AL8G22730
AT3G46600	AL5G25490
AT1G60470	AL2G16220
AT1G19780	AL1G32490
AT1G18710	AL1G31160
AT3G56150	AL5G37470
AT1G48480	AL1G55130
AT1G50170	AL1G57790
AT3G55020	AL5G36140
AT5G47300	AL8G10750
AT1G70230	AL2G29530
AT2G40690	AL4G38560
AT2G39760	AL4G37230
AT5G04070	AL6G13700
AT3G46590	AL5G25480
AT3G45540	AL5G24150
AT1G59530	AL2G17540
AT2G22055	AL8G22740
AT1G70220	AL2G29520
AT3G56140	AL5G37460
AT1G50140	AL1G57780
AT3G55010	AL5G36130
AT5G58490	AL8G34710
AT5G67200	AL8G44140
AT1G57600	AL1G67180
AT5G13840	AL6G24470
AT5G66120	AL8G45470
AT5G23860	AL6G35120
AT4G02360	AL6G50760
AT5G24810	AL6G36450
AT5G01075	AL6G11150
AT4G21000	AL7G33150
AT1G48550	AL1G55190
AT5G03200	AL6G12480
AT2G30390	AL4G25250
AT5G25830	AL6G37780
AT4G12250	AL6G47110
AT3G56130	AL5G37450
AT5G12340	AL6G23140
AT2G23360	AL4G13270
AT5G36210	AL7G45140
AT3G55005	AL5G36120
AT5G37660	AL7G46480
AT3G55000	AL5G36110
AT1G57610	AL1G67190
AT5G12350	AL6G23150
AT5G66130	AL8G45460
AT5G67210	AL8G44130
AT4G02370	AL6G50750
AT3G47550	AL5G26790
AT5G03190	AL6G12470
AT4G21010	AL7G33140
AT4G19590	AL7G34470
AT2G30380	AL4G25240
AT2G31340	AL4G26570
AT5G25840	AL6G37790
AT5G24820	AL6G36460
AT4G04920	AL6G48430
AT4G03180	AL6G49760
AT3G57280	AL5G38770
AT2G03710	AL5G13490
AT4G12240	AL6G47100
AT3G56120	AL5G37440
AT2G23350	AL4G13260
AT5G36220	AL7G45150
AT1G48540	AL1G55180
AT4G30930	AL7G21160
AT4G30900	AL7G21190
AT3G54990	AL5G36100
AT5G66100	AL8G45490
AT3G56110	AL5G37430
AT5G48010	AL8G20190
AT5G24790	AL6G36430
AT3G46580	AL5G25450
AT3G47540	AL5G26780
AT4G02380	AL6G50740
AT1G29395	AL1G43190
AT4G20980	AL7G33170
AT5G56450	AL8G32180
AT5G01060	AL6G11170
AT4G03190	AL6G49750
AT3G26090	AL5G14790
AT5G12320	AL6G23120
AT5G13825	AL6G24450
AT4G04910	AL6G48420
AT3G57270	AL5G38760
AT5G14980	AL6G25780
AT5G36170	AL7G45120
AT5G67190	AL8G44150
AT3G57260	AL5G38750
AT5G14990	AL6G25790
AT5G66110	AL8G45480
AT3G47530	AL5G26770
AT5G23850	AL6G35110
AT5G24800	AL6G36440
AT4G02390	AL6G50730
AT4G20990	AL7G33160
AT1G29390	AL1G43180
AT2G30360	AL4G25220
AT2G31320	AL4G26550
AT5G03204	AL6G12490
AT5G01070	AL6G11160
AT3G46570	AL5G25440
AT5G56440	AL8G32170
AT2G03680	AL5G13470
AT4G04900	AL6G48410
AT4G03200	AL6G49740
AT5G13830	AL6G24460
AT5G12330	AL6G23130
AT1G48510	AL1G55160
AT5G49210	AL8G22790
AT5G66160	AL8G45430
AT4G29790	AL7G22460
AT5G67240	AL8G44100
AT5G66330	AL5G14770
AT3G56090	AL5G37410
AT2G03667	AL5G13440
AT4G19630	AL7G34440
AT4G18510	AL7G35770
AT5G04150	AL6G13770
AT5G03160	AL6G12440
AT2G30350	AL4G25210
AT2G31310	AL4G26540
AT5G58540	AL8G34780
AT5G36120	AL7G45100
AT5G13810	AL6G24430
AT5G14960	AL6G25760
AT1G15890	AL7G46430
AT4G30950	AL7G21130
AT2G24840	AL4G15890
AT4G04890	AL6G48400
AT5G41620	AL7G47760
AT5G12300	AL6G23100
AT2G23340	AL4G13230
AT5G42370	AL8G19150
AT4G28720	AL7G23780
AT4G29800	AL7G22450
AT3G57240	AL5G38730
AT2G03670	AL5G13450
AT5G03150	AL6G12430
AT4G18520	AL7G35760
AT4G02405	AL6G50710
AT5G01110	AL6G11100
AT2G30340	AL4G25200
AT5G04140	AL6G13760
AT2G31305	AL4G26530
AT5G58530	AL8G34770
AT4G38580	AL7G10470
AT4G02410	AL6G50700
AT3G47520	AL5G26750
AT2G32415	AL4G27810
AT3G46560	AL5G25420
AT5G36160	AL7G45110
AT5G13820	AL6G24440
AT3G26085	AL5G14780
AT4G30960	AL7G21120
AT5G14970	AL6G25770
AT5G41610	AL7G47770
AT4G03210	AL6G49720
AT3G32030	AL7G46440
AT2G24260	AL4G14550
AT2G24255	AL4G14540
AT5G66140	AL8G45450
AT2G23320	AL4G13210
AT4G29770	AL7G22480
AT5G47990	AL8G20150
AT3G26070	AL5G14750
AT5G48540	AL8G21480
AT2G03640	AL5G13420
AT5G67220	AL8G44120
AT3G57230	AL5G38720
AT5G01090	AL6G11130
AT5G04170	AL6G13790
AT1G57590	AL1G67160
AT5G03180	AL6G12460
AT4G19600	AL7G34460
AT4G21020	AL7G33130
AT4G18490	AL7G35790
AT2G31290	AL4G26520
AT5G56420	AL8G32140
AT2G32430	AL4G27820
AT3G46550	AL5G25410
AT3G47510	AL5G26740
AT5G37650	AL7G46410
AT4G03220	AL6G49710
AT4G30935	AL7G21150
AT2G24830	AL4G15870
AT5G13790	AL6G24410
AT5G14950	AL6G25740
AT3G57220	AL5G38710
AT5G66150	AL8G45440
AT2G24820	AL4G15860
AT2G23310	AL4G13200
AT4G29780	AL7G22470
AT2G42380	AL4G40800
AT5G01100	AL6G11120
AT4G19610	AL7G34450
AT5G04160	AL6G13780
AT4G18501	AL7G35780
AT5G03170	AL6G12450
AT5G24770	AL6G36400
AT3G46540	AL5G25400
AT5G57520	AL8G33460
AT5G56400	AL8G32130
AT2G32440	AL4G27830
AT3G47500	AL5G26730
AT5G58550	AL8G34790
AT4G30940	AL7G21140
AT2G41660	AL4G39810
AT4G03230	AL6G49700
AT5G13800	AL6G24420
AT3G57210	AL5G38700
AT1G80230	AL2G41280
AT3G26050	AL5G14730
AT2G03620	AL5G13400
AT4G28670	AL7G23870
AT4G12330	AL6G47196
AT3G47490	AL5G26720
AT4G38670	AL7G10560
AT4G39690	AL7G11890
AT5G41560	AL7G47840
AT5G37690	AL7G46510
AT1G80220	AL2G41290
AT2G03630	AL5G13410
AT3G26060	AL5G14740
AT4G18450	AL7G35840
AT3G47480	AL5G26710
AT1G69200	AL2G28290
AT4G39680	AL7G11880
AT4G38660	AL7G10550
AT4G30890	AL7G21200
AT3G06650	AL3G17710
AT5G67250	AL8G44090
AT3G26030	AL5G14710
AT4G28650	AL7G23890
AT4G29740	AL7G22560
AT4G20940	AL7G33210
AT4G18425	AL7G35870
AT3G16780	AL3G29700
AT4G38690	AL7G10580
AT5G23870	AL6G35180
AT5G41580	AL7G47820
AT2G30330	AL4G25190
AT3G66652	AL3G17720
AT4G04955	AL6G48490
AT1G80240	AL2G41270
AT3G26040	AL5G14720
AT4G28660	AL7G23880
AT3G66654	AL3G17730
AT4G29750	AL7G22550
AT4G19570	AL7G34530
AT3G16785	AL3G29710
AT4G38680	AL7G10570
AT5G37680	AL7G46500
AT2G30320	AL4G25180
AT4G30880	AL7G21220
AT5G41570	AL7G47830
AT5G67270	AL8G44060
AT3G05720	AL3G16410
AT4G18465	AL7G35810
AT3G66656	AL3G17740
AT4G12300	AL6G47150
AT5G12380	AL6G23180
AT4G28700	AL7G23830
AT2G04940	AL3G42700
AT1G09060	AL1G19500
AT1G20803	AL1G33800
AT5G41600	AL7G47800
AT3G16800	AL3G29720
AT2G30310	AL4G25170
AT5G24840	AL6G36490
AT4G38630	AL7G10520
AT2G23300	AL4G13190
AT3G26020	AL5G14700
AT5G12390	AL6G23190
AT5G67280	AL8G44050
AT4G02330	AL6G50790
AT4G18480	AL7G35800
AT3G66658	AL3G17750
AT4G28703	AL7G23820
AT1G09070	AL1G19510
AT1G20810	AL1G33810
AT5G56370	AL8G32070
AT3G16810	AL3G29730
AT2G30300	AL4G25160
AT3G15730	AL3G28400
AT2G31270	AL4G26490
AT5G41590	AL7G47810
AT4G39670	AL7G11840
AT2G23290	AL4G13180
AT4G38620	AL7G10510
AT1G09900	AL1G20500
AT3G17630	AL3G30710
AT4G03140	AL6G49790
AT5G12360	AL6G23160
AT4G28680	AL7G23850
AT4G18470	AL7G35830
AT4G02340	AL6G50780
AT1G10865	AL1G21800
AT3G17640	AL3G30740
AT3G15740	AL3G28410
AT5G24830	AL6G36470
AT2G31260	AL4G26480
AT4G39675	AL7G11870
AT5G67260	AL8G44080
AT3G36659	AL3G17770
AT4G04940	AL6G48450
AT4G18460	AL7G35820
AT4G03150	AL6G49780
AT3G05740	AL3G16440
AT5G12370	AL6G23170
AT4G28690	AL7G23840
AT4G02350	AL6G50770
AT2G30290	AL4G25140
AT2G31250	AL4G26470
AT3G15760	AL3G28420
AT2G24240	AL4G14490
AT2G23270	AL4G13160
AT5G67265	AL8G44070
AT1G10870	AL1G21810
AT3G05741	AL3G16450
AT2G40500	AL4G38450
AT1G09090	AL1G19540
AT1G70990	AL2G30540
AT1G72200	AL2G31870
AT1G59510	AL2G17570
AT2G42360	AL4G40770
AT3G14790	AL3G27100
AT2G20420	AL3G53400
AT3G15770	AL3G28430
AT1G09930	AL1G20530
AT1G80300	AL2G41200
AT1G31760	AL1G45830
AT1G30475	AL1G44500
AT4G39660	AL7G11810
AT1G70260	AL2G29550
AT3G04990	AL3G15130
AT1G50180	AL1G57800
AT3G06660	AL3G17790
AT2G39700	AL4G37130
AT2G05120	AL3G42730
AT2G40600	AL4G38460
AT1G72190	AL2G31860
AT1G19800	AL1G32520
AT1G20830	AL1G33850
AT1G70985	AL2G30530
AT1G60460	AL2G16230
AT3G15780	AL3G28440
AT2G20430	AL3G53410
AT1G09932	AL1G20540
AT1G80290	AL2G41210
AT4G39650	AL7G11800
AT1G31750	AL1G45820
AT1G70250	AL2G29540
AT3G24150	AL3G39110
AT1G60440	AL2G16260
AT3G24560	AL3G40100
AT2G05160	AL3G42760
AT4G28706	AL7G23810
AT1G20816	AL1G33820
AT2G42370	AL4G40790
AT1G72220	AL2G31890
AT3G15790	AL3G28450
AT3G14810	AL3G27120
AT3G17670	AL3G30780
AT4G38600	AL7G10500
AT5G47340	AL8G10710
AT1G10875	AL1G21840
AT1G09910	AL1G20510
AT3G05750	AL3G16480
AT3G24160	AL3G39100
AT2G39705	AL4G37150
AT2G40610	AL4G38480
AT5G49170	AL8G22700
AT4G28710	AL7G23800
AT1G60450	AL2G16250
AT1G19790	AL1G32500
AT1G71000	AL2G30550
AT1G20823	AL1G33830
AT3G17668	AL3G30770
AT3G14820	AL3G27130
AT3G15800	AL3G28460
AT1G10890	AL1G21850
AT5G47330	AL8G10720
AT1G70270	AL2G29560
AT1G31730	AL1G45800
AT1G09920	AL1G20520
AT1G60420	AL2G16280
AT3G04870	AL3G15160
AT1G09140	AL1G19580
AT1G09940	AL1G20570
AT2G40620	AL4G38490
AT1G50260	AL1G57850
AT1G31800	AL1G45870
AT1G19835	AL1G32550
AT1G71015	AL2G30580
AT3G14830	AL3G27140
AT1G70290	AL2G29590
AT3G15810	AL3G28470
AT1G69170	AL2G28260
AT2G18720	AL3G52110
AT1G20860	AL1G33880
AT1G30510	AL1G44540
AT2G05170	AL3G42770
AT3G24140	AL3G39120
AT1G60430	AL2G16270
AT1G09150	AL1G19590
AT1G09950	AL1G20580
AT1G50250	AL1G57840
AT2G39710	AL4G37170
AT3G24570	AL3G40110
AT1G18750	AL1G31230
AT3G04880	AL3G15170
AT1G71010	AL2G30570
AT4G01260	AL3G53450
AT3G14840	AL3G27150
AT1G70280	AL2G29580
AT2G18730	AL3G52120
AT1G69160	AL2G28250
AT1G29400	AL1G43200
AT1G19840	AL1G32560
AT3G17675	AL3G30790
AT1G20870	AL1G33890
AT1G31790	AL1G45860
AT1G30500	AL1G44530
AT1G80245	AL2G41250
AT3G15820	AL3G28480
AT1G50240	AL1G57830
AT1G20840	AL1G33860
AT2G39720	AL4G37180
AT1G19830	AL1G32530
AT1G18730	AL1G31200
AT3G04890	AL3G15180
AT3G24120	AL3G39150
AT1G69190	AL2G28280
AT2G20440	AL3G53420
AT1G31780	AL1G45850
AT1G30490	AL1G44520
AT1G10900	AL1G21880
AT1G09935	AL1G20550
AT3G15830	AL3G28490
AT3G14850	AL3G27160
AT1G80280	AL2G41220
AT1G60410	AL2G16290
AT3G24580	AL3G40130
AT1G50200	AL1G57820
AT1G09130	AL1G19570
AT1G10910	AL1G21890
AT2G39725	AL4G37190
AT1G20850	AL1G33870
AT1G18740	AL1G31210
AT3G04900	AL3G15190
AT1G71020	AL2G30590
AT2G18710	AL3G52100
AT3G54980	AL5G36090
AT1G69180	AL2G28270
AT1G31770	AL1G45840
AT1G30480	AL1G44510
AT1G80270	AL2G41230
AT5G49260	AL8G22870
AT2G24200	AL4G14400
AT1G30540	AL1G44580
AT5G04230	AL6G13850
AT5G03230	AL6G12520
AT5G25890	AL6G37820
AT5G48560	AL8G21540
AT1G19860	AL1G32590
AT1G48590	AL1G55230
AT1G49405	AL1G56560
AT4G34690	AL1G57890
AT3G24660	AL3G40280
AT5G57550	AL8G33530
AT1G07950	AL1G18280
AT5G56452	AL8G32200
AT5G13870	AL6G24510
AT4G03130	AL6G49810
AT5G49270	AL8G22880
AT5G48570	AL8G21550
AT3G24650	AL3G40270
AT1G30530	AL1G44570
AT5G04220	AL6G13840
AT3G24070	AL3G39280
AT5G66090	AL8G45500
AT2G16220	AL3G52280
AT5G25900	AL6G37830
AT1G18770	AL1G31270
AT1G48580	AL1G55220
AT2G41620	AL4G39710
AT5G13880	AL6G24520
AT5G25850	AL6G37800
AT5G49280	AL8G22890
AT5G66070	AL8G45530
AT2G42330	AL4G40710
AT1G31812	AL1G45890
AT1G48570	AL1G55210
AT1G09960	AL1G20590
AT5G67160	AL8G44200
AT5G02010	AL6G11210
AT5G04250	AL6G13870
AT5G58610	AL8G34880
AT2G16190	AL3G52250
AT1G18760	AL1G31240
AT1G30520	AL1G44564
AT5G42340	AL8G19250
AT2G42340	AL4G40720
AT5G47970	AL8G20240
AT1G31810	AL1G45880
AT1G48560	AL1G55200
AT1G30515	AL1G44550
AT5G04240	AL6G13860
AT5G01030	AL6G11200
AT2G20560	AL3G53590
AT2G16200	AL3G52260
AT5G57560	AL8G33540
AT5G58600	AL8G34870
AT1G19850	AL1G32580
AT3G55170	AL5G36290
AT3G24670	AL3G40290
AT5G56460	AL8G32210
AT5G13860	AL6G24500
AT5G15010	AL6G25830
AT1G07960	AL1G18290
AT2G41630	AL4G39730
AT2G40550	AL4G38400
AT2G41640	AL4G39740
AT4G30990	AL7G21090
AT5G04190	AL6G13810
AT1G72090	AL2G31710
AT5G52547	AL8G21500
AT5G49215	AL8G22830
AT2G32380	AL4G27760
AT4G21065	AL7G33070
AT3G55160	AL5G36280
AT1G48610	AL1G55270
AT5G47180	AL8G10850
AT5G58580	AL8G34820
AT5G36100	AL7G45070
AT4G30993	AL7G21080
AT2G41650	AL4G39750
AT2G40570	AL4G38420
AT5G04180	AL6G13800
AT1G72080	AL2G31700
AT1G57820	AL2G18730
AT5G49220	AL8G22840
AT5G48545	AL8G21510
AT4G21070	AL7G33060
AT3G55150	AL5G36270
AT5G58575	AL8G34810
AT1G48605	AL1G55260
AT2G40580	AL4G38430
AT5G03210	AL6G12500
AT1G72110	AL2G31730
AT1G60550	AL2G16100
AT1G70895	AL2G30400
AT2G32390	AL4G27780
AT5G49230	AL8G22850
AT1G57800	AL2G18760
AT1G18780	AL1G31280
AT1G57620	AL1G67200
AT1G70140	AL2G29410
AT1G48600	AL1G55250
AT1G49420	AL1G56580
AT3G56270	AL5G37590
AT3G55140	AL5G36260
AT5G04200	AL6G13820
AT1G72100	AL2G31720
AT1G57650	AL1G67210
AT2G32400	AL4G27790
AT5G49240	AL8G22860
AT2G42350	AL4G40760
AT1G57850	AL2G18750
AT4G21060	AL7G33080
AT3G56260	AL5G37580
AT1G49410	AL1G56570
AT3G55130	AL5G36250
AT5G57500	AL8G33500
AT5G58590	AL8G34830
AT5G67100	AL8G44260
AT5G48030	AL8G20290
AT5G66030	AL8G45590
AT5G13940	AL6G24590
AT5G12440	AL6G23260
AT4G04980	AL6G48560
AT4G03050	AL6G49890
AT3G45640	AL5G24260
AT5G23920	AL6G35240
AT4G19680	AL7G34360
AT4G18590	AL7G35690
AT2G30280	AL4G25130
AT2G31240	AL4G26460
AT5G02050	AL6G11270
AT5G56520	AL8G32280
AT4G12370	AL6G47230
AT3G56250	AL5G37570
AT2G23260	AL4G13150
AT3G55120	AL5G36240
AT5G41680	AL7G47680
AT4G31010	AL7G21050
AT5G67110	AL8G44250
AT4G29880	AL7G22370
AT5G66040	AL8G45580
AT4G02260	AL6G50870
AT3G45630	AL5G24250
AT5G02040	AL6G11260
AT4G19690	AL7G34350
AT4G21105	AL7G33020
AT4G18593	AL7G35680
AT4G38520	AL7G10390
AT2G30270	AL4G25120
AT2G31230	AL4G26450
AT5G03280	AL6G12590
AT5G23930	AL6G35250
AT5G56510	AL8G32270
AT4G04972	AL6G48550
AT3G57350	AL5G38890
AT4G12360	AL6G47220
AT3G56240	AL5G37560
AT2G24230	AL4G14470
AT3G55110	AL5G36230
AT4G31020	AL7G21040
AT3G55100	AL5G36220
AT5G67090	AL8G44280
AT4G02270	AL6G50860
AT5G24879	AL6G36552
AT5G25940	AL6G37880
AT3G45620	AL5G24240
AT5G23903	AL6G35220
AT5G24880	AL6G36554
AT4G19660	AL7G34380
AT2G30260	AL4G25110
AT2G31220	AL4G26440
AT4G03080	AL6G49870
AT4G12350	AL6G47210
AT3G56230	AL5G37550
AT5G13920	AL6G24570
AT5G41690	AL7G47660
AT2G24220	AL4G14460
AT5G37590	AL7G46330
AT2G24800	AL4G15790
AT1G48630	AL1G55290
AT3G55090	AL5G36210
AT3G56220	AL5G37540
AT5G13930	AL6G24580
AT5G23910	AL6G35230
AT4G02280	AL6G50850
AT4G19670	AL7G34370
AT2G30250	AL4G25100
AT4G21090	AL7G33040
AT3G45610	AL5G24230
AT5G56530	AL8G32290
AT4G03090	AL6G49860
AT5G12430	AL6G23250
AT3G57330	AL5G38870
AT4G12340	AL6G47200
AT2G24790	AL4G15780
AT1G48620	AL1G55280
AT4G29860	AL7G22390
AT5G41685	AL7G47670
AT4G31000	AL7G21060
AT5G47960	AL8G20250
AT5G42330	AL8G19260
AT3G55080	AL5G36200
AT5G66055	AL8G45550
AT4G28820	AL7G23670
AT4G29905	AL7G22340
AT3G57320	AL5G38860
AT3G56210	AL5G37530
AT5G67140	AL8G44220
AT2G03770	AL5G13560
AT5G24860	AL6G36530
AT3G47600	AL5G26880
AT4G19710	AL7G34320
AT4G18610	AL7G35650
AT5G04270	AL6G13890
AT5G23890	AL6G35200
AT4G02290	AL6G50840
AT5G03250	AL6G12560
AT5G56480	AL8G32240
AT4G38495	AL7G10360
AT4G17610	AL7G36990
AT4G39560	AL7G11690
AT5G13900	AL6G24550
AT3G26140	AL5G14890
AT4G04970	AL6G48520
AT4G31060	AL7G21010
AT5G37550	AL7G46310
AT4G03100	AL6G49850
AT4G27670	AL7G24990
AT5G66060	AL8G45540
AT4G28830	AL7G23660
AT5G67150	AL8G44210
AT4G29910	AL7G22330
AT3G57310	AL5G38850
AT3G56200	AL5G37520
AT4G18620	AL7G35640
AT5G23900	AL6G35210
AT5G25930	AL6G37870
AT5G04260	AL6G13880
AT2G31210	AL4G26410
AT5G02020	AL6G11220
AT5G58620	AL8G34890
AT5G56470	AL8G32230
AT4G38490	AL7G10350
AT3G45600	AL5G24210
AT3G06780	AL3G17910
AT4G31070	AL7G21000
AT2G03780	AL5G13570
AT5G37570	AL7G46320
AT4G03110	AL6G49840
AT5G13910	AL6G24560
AT5G15070	AL6G25890
AT5G41700	AL7G47650
AT4G04960	AL6G48510
AT2G24765	AL4G15760
